path,label,file_size,entropy,entry_point,bias,is_stripped,section_count,program_header_count,text_size,data_size,rodata_size,bss_size,dynsym_count,symtab_count,instruction_estimate,instruction_estimate_low,instruction_estimate_high,reserved_0,reserved_1,reserved_2,has_writable_executable,has_exec_stack,is_pie,has_imported_libraries,suspicious_string_count,reserved_3,reserved_4
/home/zacharywinn/projects/winncore-ml-detector/data/benign/mpris-proxy,0.0,133640.0,4.555850278069423,23616.0,1.0,1.0,30.0,12.0,52672.0,216.0,5608.0,128.0,175.0,0.0,13168.0,1316.8000000000002,3950.3999999999996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/varlinkctl,0.0,68048.0,2.824677936188121,12672.0,1.0,1.0,31.0,12.0,9768.0,40.0,4416.0,56.0,102.0,0.0,2442.0,244.20000000000002,732.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/debugedit,0.0,70424.0,5.648269465525644,4211776.0,1.0,1.0,30.0,11.0,37056.0,1992.0,6960.0,216.0,76.0,0.0,9264.0,926.4000000000001,2779.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/update-menus,0.0,199288.0,5.015508448153323,20352.0,1.0,1.0,29.0,10.0,104084.0,480.0,4663.0,224.0,150.0,0.0,26021.0,2602.1000000000004,7806.299999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/pnmshear,0.0,67824.0,0.8624983339434468,5056.0,1.0,1.0,29.0,12.0,1988.0,16.0,400.0,8.0,29.0,0.0,497.0,49.7,149.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/ppmtogif,0.0,67824.0,1.0104298189303957,5888.0,1.0,1.0,29.0,12.0,2428.0,16.0,971.0,8.0,34.0,0.0,607.0,60.7,182.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/aarch64-linux-gnu-gcc-ar-14,0.0,68192.0,2.163618565542883,4201600.0,1.0,1.0,29.0,11.0,9548.0,16.0,1706.0,96.0,63.0,0.0,2387.0,238.70000000000002,716.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/ppmdraw,0.0,67824.0,1.658757570782536,7936.0,1.0,1.0,29.0,12.0,5240.0,16.0,1896.0,8.0,49.0,0.0,1310.0,131.0,393.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/resolvectl,0.0,199368.0,5.219527997156062,42752.0,1.0,1.0,31.0,12.0,82480.0,184.0,29024.0,128.0,242.0,0.0,20620.0,2062.0,6186.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/ctest,0.0,13048152.0,6.501465350742679,566016.0,1.0,1.0,30.0,12.0,10254732.0,4208.0,592894.0,86984.0,693.0,0.0,2563683.0,256368.30000000002,769104.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,244.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/rhythmbox-client,0.0,69768.0,3.806661702432677,22464.0,1.0,1.0,30.0,12.0,15076.0,1880.0,5368.0,176.0,148.0,0.0,3769.0,376.90000000000003,1130.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
/home/zacharywinn/projects/winncore-ml-detector/data/benign/rasttopnm,0.0,67824.0,1.6518542919084969,6336.0,1.0,1.0,29.0,12.0,6504.0,16.0,1619.0,8.0,30.0,0.0,1626.0,162.60000000000002,487.79999999999995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
